smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COCC(=O)NCc1cc(=O)n2c(n1)CN(Cc1cccs1)CCC2,8425,790,16.93178416043026,9.432001639857187,8.0,2.0,791,155296
O=C(c1ccnnc1)N1CCc2onc(Cn3cccn3)c2C1,9999,inf,inf,14.612597088831201,inf,3.0,134,12380
O=C(Nc1ccccc1-c1nc(Nc2ccc3[nH]ncc3c2)c2ccccc2n1)c1ccncc1,9,4,2.4528919932132998,1.942459709828485,4.0,1.0,5,244
CC=CC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12,136,27,9.916068200328663,7.5797058175054675,6.0,2.0,29,1496
CCOC(=O)N1CCN(C(S)=NC2CCCCC2)CC1,6877,inf,inf,13.697746934323488,inf,3.0,1000,108317
Oc1cccc2ccc(Nc3cc(Cl)ccn3)nc12,5,3,1.4077293152246577,1.4077293152246577,2.0,1.0,3,228
COc1ccc(C2c3[nH]c4ccccc4c3CCN2CCCn2cccn2)c(C)c1C,18,8,2.9831830156958876,2.307368899915363,4.0,1.0,8,450
CC(C)c1nn(-c2ccc(C(N)=O)c(NCc3ccccc3)c2)c2nccc(-c3cnc4ccccc4c3)c12,9999,inf,inf,9.47025452578575,inf,2.0,513,127233
Oc1oc(C=Nc2ccc(Oc3ccccc3)cc2)c2ccccc12,5580,inf,inf,11.295597858730888,inf,2.0,1000,129082
Cc1cc(-c2n[nH]c3ccc(C(O)=NC4CCCC(O)(Cn5cc6ccccc6n5)C4)cc23)ccn1,5145,inf,inf,12.650379556744573,inf,3.0,1000,71060
CCCCN(CC(=O)N(CC(=O)NO)C(C)CC)C(=O)Nc1ccc(Oc2ccccc2)cc1,2027,119,13.047092280375374,11.064284190185628,6.0,2.0,119,32107
CC(C)(C)c1cc(C=CC(=O)c2ccco2)cc(C=Nc2nccs2)c1O,56,12,7.436333538601393,6.182012557095107,5.0,1.0,13,1206
CC(=O)Nc1ccc(S(=O)(=O)NC(C)C(=O)NC(C)c2ccccc2)cc1,17,4,3.9051952784979456,3.1264355418719876,4.0,1.0,5,395
CC(NC(=O)CC#N)C(=O)NC(Cc1ccccc1)C(=O)O,37,3,3.772398188450946,3.711860332621848,3.0,1.0,14,765
N=c1cc2c3cc(N)c(O)c4c(O)ccc(c5ccc(O)c(c1=O)c52)c43,5767,inf,inf,6.988437366276402,inf,2.0,1000,171502
O=C(O)CSc1no[n+]([O-])c1-c1ccccc1,9999,inf,inf,17.876614666081984,inf,3.0,978,164337
Cc1ccc(C(=O)Oc2cccc(NC(=O)c3cccs3)c2)cc1S(=O)(=O)N1CCOCC1,11,4,2.696515052113008,2.662135083240708,4.0,1.0,6,324
COc1ccc(Cl)cc1S(=O)(=O)c1cn(CC(=O)O)c2ccc(C(=O)Nc3ccccc3)cc12,407,50,11.290517355461692,6.750146414303003,5.0,1.0,50,10717
CN1C(Cn2cncn2)CC2CN(Cc3cccc(C#N)c3)CCC21,4744,inf,inf,7.734776020932223,inf,2.0,1000,130618
COc1cccc(C=NCCN=Cc2cccc(OC)c2O)c1O,9,3,2.5041083686426733,2.5041083686426733,4.0,1.0,3,305
